player,game,market,line,side,true_p,spread,books,opportunity,pref,one_sided
Jordan Love,GB @ NYJ,interceptions,0.5,under,0.5310,0.0000,1,6,7,0
Brock Purdy,MIA @ SF,completions,19.5,over,0.5310,0.0000,1,22,9,0
Drake London,CAR @ ATL,receptions,4.5,over,0.5306,0.0033,2,6,1,0
Jordan Love,GB @ NYJ,completions,20.5,over,0.5289,0.0000,1,22,9,0
Ashton Jeanty,LV @ LAC,rush_attempts,16.5,over,0.5289,0.0000,1,15,6,0
Geno Smith,GB @ NYJ,interceptions,0.5,under,0.5268,0.0000,1,6,7,0
Chase Brown,CIN @ HOU,rush_attempts,14.5,over,0.5268,0.0000,1,15,6,0
Chase Brown,CIN @ HOU,receptions,3.5,under,0.5267,0.0250,2,6,1,0
George Kittle,MIA @ SF,receptions,3.5,over,0.5261,0.0139,2,6,1,0
Chuba Hubbard,CAR @ ATL,rush_attempts,13.5,over,0.5260,0.0000,1,15,6,0
Joe Burrow,CIN @ HOU,completions,23.5,under,0.5260,0.0000,1,22,9,0
Breece Hall,GB @ NYJ,rush_attempts,16.5,under,0.5260,0.0000,1,15,6,0
Daniel Jones,IND @ KC,interceptions,0.5,over,0.5260,0.0000,1,6,7,0
Jakobi Meyers,JAX @ DEN,receptions,3.5,over,0.5249,0.0147,2,6,1,0
Puka Nacua,NYG @ LAR,receptions,6.5,over,0.5245,0.0073,2,6,1,0
Jaxon Smith-Njigba,SEA @ ARI,receptions,6.5,under,0.5240,0.0098,2,6,1,0
C.J. Stroud,CIN @ HOU,pass_attempts,31.5,under,0.5239,0.0000,1,32,5,0
Quinshon Judkins,CLE @ TB,rush_attempts,13.5,over,0.5239,0.0000,1,15,6,0
Bucky Irving,CLE @ TB,anytime_td,0.5,over,0.5233,0.0000,2,6,4,1
Bucky Irving,CLE @ TB,rush_attempts,15.5,under,0.5218,0.0000,1,15,6,0
Geno Smith,GB @ NYJ,completions,20.5,under,0.5218,0.0000,1,22,9,0
Mike Washington,LV @ LAC,rush_attempts,5.5,under,0.5218,0.0000,1,15,6,0
Malik Willis,MIA @ SF,pass_attempts,27.5,under,0.5218,0.0000,1,32,5,0
Chris Boswell,PIT @ NE,field_goals_made,1.5,under,0.5218,0.0000,1,6,8,0
Jacoby Brissett,SEA @ ARI,completions,21.5,under,0.5218,0.0000,1,22,9,0
Jonathan Taylor,IND @ KC,receptions,2.5,over,0.5210,0.0338,2,6,1,0
Jordan Love,GB @ NYJ,pass_tds,1.5,over,0.5206,0.0249,2,32,2,0
Keenan Allen,IND @ KC,receptions,3.5,over,0.5203,0.0157,2,6,1,0
Courtland Sutton,JAX @ DEN,receptions,3.5,under,0.5200,0.0017,2,6,1,0
Caleb Williams,MIN @ CHI,completions,19.5,over,0.5197,0.0000,1,22,9,0
Matthew Stafford,NYG @ LAR,interceptions,0.5,under,0.5197,0.0000,1,6,7,0
Jalen Hurts,PHI @ TEN,rush_attempts,7.5,under,0.5188,0.0000,1,15,6,0
Bijan Robinson,CAR @ ATL,rush_attempts,18.5,over,0.5188,0.0000,1,15,6,0
Kirk Cousins,LV @ LAC,pass_attempts,29.5,over,0.5188,0.0000,1,32,5,0
Aaron Rodgers,PIT @ NE,completions,20.5,over,0.5188,0.0000,1,22,9,0
Isaiah Likely,NYG @ LAR,receptions,4.5,under,0.5180,0.0076,2,6,1,0
Joe Burrow,CIN @ HOU,pass_attempts,35.5,under,0.5176,0.0000,1,32,5,0
Geno Smith,GB @ NYJ,pass_attempts,30.5,under,0.5176,0.0000,1,32,5,0
Bhayshul Tuten,JAX @ DEN,rush_attempts,11.5,over,0.5176,0.0000,1,15,6,0
Tyler Shough,NO @ BAL,interceptions,0.5,over,0.5176,0.0000,1,6,7,0
Bhayshul Tuten,JAX @ DEN,receptions,1.5,under,0.5172,0.0302,2,6,1,0
Kendrick Bourne,SEA @ ARI,receptions,2.5,over,0.5167,0.0229,2,6,1,0
Baker Mayfield,CLE @ TB,pass_attempts,27.5,over,0.5167,0.0000,1,32,5,0
Cam Skattebo,NYG @ LAR,rush_attempts,12.5,over,0.5167,0.0000,1,15,6,0
Saquon Barkley,PHI @ TEN,rush_attempts,18.5,under,0.5167,0.0000,1,15,6,0
Drew Lock,SEA @ ARI,pass_attempts,29.5,over,0.5167,0.0000,1,32,5,0
Jaxson Dart,NYG @ LAR,rush_attempts,6.5,under,0.5155,0.0000,1,15,6,0
Brian Thomas Jr.,JAX @ DEN,receptions,2.5,over,0.5148,0.0013,2,6,1,0
Baker Mayfield,CLE @ TB,completions,18.5,over,0.5146,0.0000,1,22,9,0
Patrick Mahomes,IND @ KC,pass_attempts,30.5,over,0.5146,0.0000,1,32,5,0
Kaelon Black,MIA @ SF,rush_attempts,8.5,over,0.5146,0.0000,1,15,6,0
D'Andre Swift,MIN @ CHI,rush_attempts,14.5,under,0.5146,0.0000,1,15,6,0
Tyler Shough,NO @ BAL,completions,21.5,over,0.5146,0.0000,1,22,9,0
Patrick Mahomes,IND @ KC,pass_tds,1.5,over,0.5141,0.0199,2,32,2,0
C.J. Stroud,CIN @ HOU,completions,19.5,over,0.5125,0.0000,1,22,9,0
Drake Maye,PIT @ NE,completions,20.5,over,0.5125,0.0000,1,22,9,0
Drew Lock,SEA @ ARI,completions,18.5,over,0.5125,0.0000,1,22,9,0
Deshaun Watson,CLE @ TB,pass_attempts,29.5,under,0.5125,0.0000,1,32,5,0
Trey Smack,GB @ NYJ,field_goals_made,1.5,under,0.5125,0.0000,1,6,8,0
Baker Mayfield,CLE @ TB,pass_tds,1.5,over,0.5119,0.0073,2,32,2,0
Malik Nabers,NYG @ LAR,receptions,5.5,over,0.5109,0.0218,2,6,1,0
Bryce Young,CAR @ ATL,completions,19.5,over,0.5104,0.0000,1,22,9,0
Joe Burrow,CIN @ HOU,rush_attempts,2.5,over,0.5104,0.0000,1,15,6,0
Jonathan Taylor,IND @ KC,rush_attempts,18.5,over,0.5104,0.0000,1,15,6,0
JK Dobbins,JAX @ DEN,rush_attempts,13.5,under,0.5104,0.0000,1,15,6,0
Christian McCaffrey,MIA @ SF,rush_attempts,14.5,under,0.5104,0.0000,1,15,6,0
Jake Elliott,PHI @ TEN,field_goals_made,1.5,over,0.5104,0.0000,1,6,8,0
Jalen Hurts,PHI @ TEN,pass_attempts,27.5,over,0.5104,0.0000,1,32,5,0
Jacoby Brissett,SEA @ ARI,pass_attempts,34.5,over,0.5104,0.0000,1,32,5,0
Jeremiyah Love,SEA @ ARI,rush_attempts,9.5,under,0.5104,0.0000,1,15,6,0
Joe Burrow,CIN @ HOU,pass_tds,1.5,over,0.5092,0.0018,2,32,2,0
AJ Barner,SEA @ ARI,receptions,2.5,over,0.5092,0.0100,2,6,1,0
Omarion Hampton,LV @ LAC,rush_attempts,16.5,over,0.5083,0.0000,1,15,6,0
De'Von Achane,MIA @ SF,rush_attempts,14.5,under,0.5083,0.0000,1,15,6,0
Lamar Jackson,NO @ BAL,pass_attempts,27.5,under,0.5083,0.0000,1,32,5,0
Justin Jefferson,MIN @ CHI,receptions,6.5,under,0.5076,0.0131,2,6,1,0
Caleb Williams,MIN @ CHI,pass_attempts,31.5,under,0.5073,0.0000,1,32,5,0
Bryce Young,CAR @ ATL,pass_attempts,31.5,under,0.5062,0.0000,1,32,5,0
C.J. Stroud,CIN @ HOU,interceptions,0.5,over,0.5062,0.0000,1,6,7,0
Daniel Jones,IND @ KC,pass_attempts,31.5,over,0.5062,0.0000,1,32,5,0
Evan McPherson,CIN @ HOU,field_goals_made,1.5,over,0.5052,0.0000,1,6,8,0
Bryce Young,CAR @ ATL,interceptions,0.5,under,0.5042,0.0000,1,6,7,0
Drew Lock,SEA @ ARI,interceptions,0.5,under,0.5042,0.0000,1,6,7,0
Jadarian Price,SEA @ ARI,rush_attempts,14.5,under,0.5042,0.0000,1,15,6,0
Ryan Fitzgerald,CAR @ ATL,field_goals_made,1.5,over,0.5042,0.0000,1,6,8,0
Matthew Stafford,NYG @ LAR,completions,21.5,over,0.5042,0.0000,1,22,9,0
Drake Maye,PIT @ NE,pass_attempts,29.5,over,0.5042,0.0000,1,32,5,0
Brock Purdy,MIA @ SF,pass_attempts,28.5,over,0.5031,0.0000,1,32,5,0
Ja'Marr Chase,CIN @ HOU,receptions,6.5,under,0.5026,0.0052,2,6,1,0
Kenneth Walker III,IND @ KC,rush_attempts,18.5,over,0.5021,0.0000,1,15,6,0
Jadarian Price,SEA @ ARI,receptions,1.5,under,0.5010,0.0021,2,6,1,0
Parker Washington,JAX @ DEN,receptions,4.5,over,0.5005,0.0010,2,6,1,0
Malik Willis,MIA @ SF,completions,16.5,over,0.5000,0.0000,1,22,9,0
Tyler Shough,NO @ BAL,pass_attempts,34.5,over,0.5000,0.0000,1,32,5,0
Chris Olave,NO @ BAL,receptions,5.5,under,0.4971,0.0225,2,6,1,0
Ashton Jeanty,LV @ LAC,anytime_td,0.5,over,0.4950,0.0200,2,6,4,1
Breece Hall,GB @ NYJ,anytime_td,0.5,over,0.4850,0.0000,2,6,4,1
Chuba Hubbard,CAR @ ATL,anytime_td,0.5,over,0.4848,0.0210,2,6,4,1
Saquon Barkley,PHI @ TEN,anytime_td,0.5,over,0.4848,0.0210,2,6,4,1
Puka Nacua,NYG @ LAR,anytime_td,0.5,over,0.4686,0.0113,2,6,4,1
Chase Brown,CIN @ HOU,anytime_td,0.5,over,0.4573,0.0113,2,6,4,1
