player,game,market,line,side,true_p,spread,books,opportunity,pref,one_sided
Omarion Hampton,LV @ LAC,anytime_td,0.5,over,0.5732,0.0067,2,6,4,1
Jalen Nailor,LV @ LAC,receptions,2.5,over,0.5668,0.0164,2,6,1,0
Demarcus Robinson,MIA @ SF,receptions,1.5,over,0.5630,0.0239,2,6,1,0
David Njoku,LV @ LAC,receptions,2.5,over,0.5599,0.0101,2,6,1,0
D'Andre Swift,MIN @ CHI,receptions,1.5,over,0.5596,0.0021,2,6,1,0
Jonathan Taylor,IND @ KC,anytime_td,0.5,over,0.5592,0.0073,2,6,4,1
Deshaun Watson,CLE @ TB,interceptions,0.5,over,0.5569,0.0000,1,6,7,0
D'Andre Swift,MIN @ CHI,anytime_td,0.5,over,0.5556,0.0000,2,6,4,1
Joe Burrow,CIN @ HOU,interceptions,0.5,over,0.5551,0.0000,1,6,7,0
Travis Kelce,IND @ KC,receptions,3.5,over,0.5525,0.0290,2,6,1,0
Jeremiyah Love,SEA @ ARI,receptions,2.5,over,0.5519,0.0393,2,6,1,0
Jacoby Brissett,SEA @ ARI,interceptions,0.5,over,0.5506,0.0000,1,6,7,0
Cam Little,JAX @ DEN,field_goals_made,1.5,over,0.5494,0.0000,1,6,8,0
Xavier Worthy,IND @ KC,receptions,3.5,under,0.5491,0.0067,2,6,1,0
Jaylen Waddle,JAX @ DEN,receptions,4.5,under,0.5474,0.0148,2,6,1,0
Eddy Pineiro,MIA @ SF,field_goals_made,1.5,over,0.5440,0.0000,1,6,8,0
Brenton Strange,JAX @ DEN,receptions,3.5,under,0.5425,0.0066,2,6,1,0
Lamar Jackson,NO @ BAL,rush_attempts,7.5,over,0.5420,0.0000,1,15,6,0
DeVonta Smith,PHI @ TEN,receptions,4.5,over,0.5419,0.0080,2,6,1,0
C.J. Stroud,CIN @ HOU,pass_tds,1.5,under,0.5417,0.0130,2,32,2,0
Christian McCaffrey,MIA @ SF,receptions,4.5,over,0.5408,0.0171,2,6,1,0
Malik Willis,MIA @ SF,rush_attempts,7.5,under,0.5400,0.0000,1,15,6,0
Aaron Rodgers,PIT @ NE,interceptions,0.5,under,0.5400,0.0000,1,6,7,0
Rashee Rice,IND @ KC,receptions,4.5,over,0.5395,0.0047,2,6,1,0
Garrett Wilson,GB @ NYJ,receptions,5.5,over,0.5385,0.0125,2,6,1,0
Malik Washington,MIA @ SF,receptions,3.5,under,0.5384,0.0205,2,6,1,0
Deshaun Watson,CLE @ TB,completions,16.5,over,0.5380,0.0000,1,22,9,0
Malik Willis,MIA @ SF,interceptions,0.5,over,0.5380,0.0000,1,6,7,0
Lamar Jackson,NO @ BAL,completions,17.5,over,0.5380,0.0000,1,22,9,0
Harrison Mevis,NYG @ LAR,field_goals_made,1.5,over,0.5380,0.0000,1,6,8,0
Blake Corum,NYG @ LAR,rush_attempts,10.5,over,0.5380,0.0000,1,15,6,0
Trey McBride,SEA @ ARI,receptions,6.5,under,0.5379,0.0001,2,6,1,0
Daniel Jones,IND @ KC,completions,21.5,under,0.5372,0.0000,1,22,9,0
Jalen Hurts,PHI @ TEN,completions,18.5,under,0.5372,0.0000,1,22,9,0
Caleb Williams,MIN @ CHI,pass_tds,1.5,over,0.5364,0.0033,2,32,2,0
Harrison Butker,IND @ KC,field_goals_made,1.5,over,0.5351,0.0000,1,6,8,0
Jason Myers,SEA @ ARI,field_goals_made,1.5,over,0.5351,0.0000,1,6,8,0
Michael Wilson,SEA @ ARI,receptions,3.5,over,0.5351,0.0057,2,6,1,0
Patrick Mahomes,IND @ KC,completions,19.5,over,0.5331,0.0000,1,22,9,0
Jaxson Dart,NYG @ LAR,completions,19.5,over,0.5331,0.0000,1,22,9,0
Tyler Allgeier,SEA @ ARI,rush_attempts,9.5,over,0.5331,0.0000,1,15,6,0
Mike Evans,MIA @ SF,receptions,3.5,over,0.5331,0.0017,2,6,1,0
Tyler Warren,IND @ KC,receptions,4.5,over,0.5317,0.0070,2,6,1,0
Lamar Jackson,NO @ BAL,pass_tds,1.5,under,0.5312,0.0095,2,32,2,0
Breece Hall,GB @ NYJ,receptions,2.5,over,0.5310,0.0058,2,6,1,0
